cutoff_year,concept_i_ite_donor,concept_j_tg_anchor,i_type,j_type,u_degree_all,v_degree_all,u_degree_tg,v_degree_tg,u_degree_ite,v_degree_ite,common_neighbors,adamic_adar,preferential_attachment,shortest_path,semantic_similarity,cross_type,ite_lead_years_for_u,u_seen_in_ite,u_seen_in_tg,v_seen_in_tg,ml_score,graph_adoption_score,actionability_score,hybrid_adoption_score,hybrid_actionability_score
2026,zwitterionic hydrogel ion regulation,3D-printable shape-customized hydrogel thermocell,gel_microstructure,gel_microstructure,6,2,2,2,5,0,0,0.0,12,3,0.1214439081401147,0,2,1,1,1,0.5149517657858393,0.2884939759036144,0.2884939759036144,0.21626506024096387,0.21626506024096387
2026,thermoresponsive micellization p/n conversion,self-assembled aerogel sheet electrode,phase_or_species_transition,electrode_interface,6,1,2,1,4,0,0,0.0,6,3,0.0,1,2,1,1,1,0.0551312985198323,0.13849397590361445,0.31849397590361445,0.02710843373493976,0.20710843373493976
2026,polarized-membrane ionic thermal potential,self-assembled aerogel sheet electrode,transport_mechanism,electrode_interface,4,1,0,1,4,0,0,0.0,4,3,0.010450846648850338,1,11,1,0,1,0.05734045996131822,0.13644578313253014,0.31644578313253013,0.025903614457831327,0.20590361445783134
2026,biomass-derived porous carbon electrode,carboxylated chitosan redox additive,electrode_interface,material_system,3,0,1,0,2,0,0,0.0,0,12,0.09548906843164753,1,3,1,1,1,0.03744527243006839,0.16277108433734938,0.34277108433734943,0.025903614457831327,0.20590361445783134
2026,salting-out confined ion gel,Li-ion TREC electrode-selection thermodynamics,gel_microstructure,electrode_interface,12,1,6,1,8,0,0,0.0,12,3,0.015595551822959845,1,2,1,1,1,0.07093803247496255,0.24777108433734937,0.3477710843373494,0.10301204819277107,0.20301204819277108
2026,bidirectional cationic anchoring thermodiffusion,self-assembled aerogel sheet electrode,transport_mechanism,electrode_interface,8,1,0,1,8,0,0,0.0,8,3,0.003264076548563216,1,4,1,0,1,0.027017473328513862,0.17186746987951806,0.35186746987951806,0.02289156626506024,0.20289156626506025
2026,salting-out confined ion gel,SAM-stabilized electrostatic electrocatalysis,gel_microstructure,electrode_interface,12,1,6,1,8,0,0,0.0,12,3,0.014423717781961158,1,2,1,1,1,0.07009396812496421,0.24512048192771083,0.34512048192771083,0.09939759036144578,0.19939759036144578
2026,hydrogel volume-phase transition thermocell,SAM-stabilized electrostatic electrocatalysis,phase_or_species_transition,electrode_interface,5,1,0,1,5,0,0,0.0,5,3,0.0,1,6,1,0,1,0.026599097259730985,0.11680722891566266,0.2968072289156627,0.0024096385542168677,0.18240963855421688
2026,salting-out confined ion gel,decomposition-layer thermogalvanic profiling,gel_microstructure,electrode_interface,12,1,6,1,8,0,0,0.0,12,3,0.0069621061169959355,1,2,1,1,1,0.06129945732053928,0.2309036144578313,0.33090361445783134,0.08132530120481929,0.1813253012048193
2026,zwitterionic hydrogel ion regulation,self-assembled aerogel sheet electrode,gel_microstructure,electrode_interface,6,1,2,1,5,0,0,0.0,6,3,0.05461891830490616,1,2,1,1,1,0.07578775566274423,0.211144578313253,0.31114457831325304,0.07771084337349397,0.17771084337349397
2026,zwitterionic hydrogel ion regulation,porous/pin-electrode thermal-gradient architecture,gel_microstructure,electrode_interface,6,2,2,0,5,2,0,0.0,12,3,0.0,1,2,1,1,1,0.08379370010933265,0.20355421686746986,0.30355421686746986,0.0746987951807229,0.1746987951807229
2026,zwitterionic hydrogel ion regulation,Li-ion TREC electrode-selection thermodynamics,gel_microstructure,electrode_interface,6,1,2,1,5,0,0,0.0,6,3,0.04018272017148799,1,2,1,1,1,0.07755446246166997,0.20487951807228916,0.3048795180722892,0.0746987951807229,0.1746987951807229
2026,zwitterionic hydrogel ion regulation,decomposition-layer thermogalvanic profiling,gel_microstructure,electrode_interface,6,1,2,1,5,0,0,0.0,6,3,0.025124185477969487,1,2,1,1,1,0.0919245449931785,0.19210843373493977,0.2921084337349398,0.07289156626506024,0.17289156626506025
2026,zwitterionic hydrogel ion regulation,SAM-stabilized electrostatic electrocatalysis,gel_microstructure,electrode_interface,6,1,2,1,5,0,0,0.0,6,3,0.0062466586147096066,1,2,1,1,1,0.07070338209196758,0.16319277108433736,0.26319277108433736,0.05,0.15000000000000002
