model,params,roc_auc,average_precision,precision_at_10,hits_at_10,precision_at_25,hits_at_25,precision_at_50,hits_at_50,precision_at_100,hits_at_100
hybrid_rank_blend,graph_weight=0.0; lr_weight=0.0,0.8332791151594015,0.623403848988599,0.8,8,0.8,20,0.62,31,0.36,36
hybrid_rank_blend,graph_weight=0.2; lr_weight=0.5,0.8345396877033181,0.6223734498441515,0.8,8,0.8,20,0.6,30,0.4,40
random_forest,n=300; min_leaf=4; max_features=0.6,0.833035133376708,0.6189839347172716,0.8,8,0.8,20,0.62,31,0.37,37
random_forest,n=300; min_leaf=12; max_features=1.0,0.835149642160052,0.6169197339943067,0.8,8,0.8,20,0.62,31,0.39,39
hybrid_rank_blend,graph_weight=0.1; lr_weight=0.5,0.829660052049447,0.6144928740402756,0.8,8,0.8,20,0.58,29,0.4,40
random_forest,n=600; min_leaf=4; max_features=1.0,0.8266102797657775,0.613919152381774,0.8,8,0.8,20,0.6,30,0.39,39
random_forest,n=300; min_leaf=4; max_features=1.0,0.8195348080676643,0.6107046958182933,0.8,8,0.8,20,0.6,30,0.37,37
random_forest,n=300; min_leaf=8; max_features=sqrt,0.8395413142485361,0.6095943235889467,0.8,8,0.8,20,0.6,30,0.39,39
random_forest,n=600; min_leaf=2; max_features=sqrt,0.8343363695510735,0.6094425586696778,0.8,8,0.8,20,0.6,30,0.39,39
random_forest,n=600; min_leaf=12; max_features=1.0,0.8366135328562134,0.6084458664375302,0.8,8,0.8,20,0.62,31,0.39,39
ml_blend,lr_weight=0.6; lr_C1; rf_n600_leaf8_mf1.0,0.8195348080676642,0.6033290999342892,0.8,8,0.8,20,0.58,29,0.38,38
hybrid_rank_blend,graph_weight=0.0; lr_weight=0.6,0.8195348080676642,0.6033290999342892,0.8,8,0.8,20,0.58,29,0.38,38
ml_blend,lr_weight=0.7; lr_C1; rf_n600_leaf8_mf1.0,0.814736499674691,0.5966317203926337,0.8,8,0.8,20,0.56,28,0.37,37
hybrid_rank_blend,graph_weight=0.0; lr_weight=0.7,0.814736499674691,0.5966317203926337,0.8,8,0.8,20,0.56,28,0.37,37
ml_blend,lr_weight=0.8; lr_C1; rf_n600_leaf8_mf1.0,0.8096128822381261,0.5832095563125824,0.8,8,0.8,20,0.56,28,0.37,37
hybrid_rank_blend,graph_weight=0.0; lr_weight=0.8,0.8096128822381261,0.5832095563125824,0.8,8,0.8,20,0.56,28,0.37,37
hybrid_rank_blend,graph_weight=0.3; lr_weight=0.0,0.8447462589459986,0.6402067636660334,0.8,8,0.76,19,0.62,31,0.41,41
hybrid_rank_blend,graph_weight=0.3; lr_weight=0.1,0.8425910865322055,0.639934267029944,0.8,8,0.76,19,0.62,31,0.4,40
hybrid_rank_blend,graph_weight=0.2; lr_weight=0.1,0.8404765777488615,0.6374258181973584,0.8,8,0.76,19,0.6,30,0.39,39
hybrid_rank_blend,graph_weight=0.2; lr_weight=0.0,0.8410458685751464,0.6335438953634753,0.8,8,0.76,19,0.6,30,0.39,39
hybrid_rank_blend,graph_weight=0.7; lr_weight=0.0,0.8473080676642811,0.6334562095021075,0.9,9,0.76,19,0.56,28,0.42,42
hybrid_rank_blend,graph_weight=0.7; lr_weight=0.1,0.8469827586206896,0.6305455774523099,0.9,9,0.76,19,0.56,28,0.41,41
hybrid_rank_blend,graph_weight=0.6; lr_weight=0.4,0.8455595315549772,0.6303077663341701,0.9,9,0.76,19,0.6,30,0.4,40
hybrid_rank_blend,graph_weight=0.7; lr_weight=0.2,0.8469420949902406,0.6284982873284887,0.9,9,0.76,19,0.58,29,0.41,41
hybrid_rank_blend,graph_weight=0.4; lr_weight=0.5,0.8406798959011061,0.627561338215351,0.9,9,0.76,19,0.58,29,0.41,41
hybrid_rank_blend,graph_weight=0.3; lr_weight=0.5,0.837914769030579,0.6249560346904595,0.8,8,0.76,19,0.6,30,0.4,40
