layer_recommendation_rank,concept_u_id,concept_v_id,concept_u,concept_v,u_type,v_type,semantic_similarity,degree_u,degree_v,degree_min,degree_max,document_frequency_u,document_frequency_v,frequency_min,frequency_max,frequency_balance,recent_frequency_u,recent_frequency_v,recent_frequency_sum,trend_u,trend_v,age_u,age_v,common_neighbors,jaccard,adamic_adar,preferential_attachment,shortest_path,same_component,same_type,material_material_pair,material_mechanism_pair,mechanism_mechanism_pair,tg_history_frequency_u,tg_history_frequency_v,tg_history_frequency_sum,tg_both_concepts_seen,cutoff_year,future_window,future_edge_label,logistic_score,random_forest_score,ml_score,graph_score,hybrid_score,predicted_class,hybrid_rank,pair_layer,pair_layer_name
14,C1DF01A6473,CDDD624085F,PEDOT:PSS,deep-eutectic eutogel electrolyte,material_entity,material_system,0.3447910249233246,36,11,11,36,46,4,4,46,0.0869565217391304,30,1,31,6.333333333333333,0.0,10,7,7,0.175,2.158804614988622,396,1,1,0,1,0,0,0,0,0,0,2022,2023-2026,0,0.4291497354316266,0.1438539505077399,0.7973520249221183,0.6158151609553479,0.7833852544132919,0,132,M-M,material-material
15,C9642D16DCA,CDF78985483,graphene oxide,nanocomposite,material_entity,material_system,0.3802064657211303,18,21,18,21,9,13,9,13,0.6923076923076923,5,7,12,1.0,0.3333333333333333,10,5,7,0.21875,2.188511234084975,378,1,1,0,1,0,0,4,1,5,1,2022,2023-2026,0,0.5962226867775782,0.1397419907755203,0.8024922118380062,0.601111111111111,0.7819314641744548,0,133,M-M,material-material
16,C1DF01A6473,C7802AE4324,PEDOT:PSS,deep eutectic solvent,material_entity,material_system,0.3370741605758667,36,11,11,36,46,4,4,46,0.0869565217391304,30,1,31,6.333333333333333,0.0,10,7,7,0.175,2.158804614988622,396,1,1,0,1,0,0,0,0,0,0,2022,2023-2026,0,0.4265075854164151,0.1438539505077399,0.7970404984423676,0.615441329179647,0.7819314641744548,0,134,M-M,material-material
17,C1DF01A6473,C9910E60ABA,PEDOT:PSS,carbon nanotube,material_entity,material_entity,0.4067261517047882,36,28,28,36,46,33,33,46,0.717391304347826,30,20,50,6.333333333333333,4.666666666666667,10,13,14,0.28,4.648823831304995,1008,1,1,1,1,0,0,0,11,11,0,2022,2023-2026,0,0.515329312875991,0.1020437940187771,0.7311526479750778,0.8380269989615784,0.7800623052959501,0,136,M-M,material-material
18,C2866DCD56B,C37031A3390,PEDOT,cellulose,material_entity,material_entity,0.4413255155086517,44,22,22,44,55,12,12,55,0.2181818181818181,34,10,44,6.0,2.6666666666666665,10,5,8,0.1379310344827586,2.3310510127556032,968,1,1,1,1,0,0,2,1,3,1,2022,2023-2026,0,0.3771703927434118,0.1227651077790706,0.7662512980269989,0.676552440290758,0.7738317757009345,0,146,M-M,material-material
19,C2866DCD56B,C9910E60ABA,PEDOT,carbon nanotube,material_entity,material_entity,0.4305654764175415,44,28,28,44,55,33,33,55,0.6,34,20,54,6.0,4.666666666666667,10,13,16,0.2857142857142857,5.2733469274599525,1232,1,1,1,1,0,0,2,11,13,1,2022,2023-2026,0,0.5503963208517253,0.0926826232088401,0.708515057113188,0.8627206645898233,0.7651090342679128,0,154,M-M,material-material
20,C6181968680,CF840763400,graphene,TiO2,material_entity,material_entity,0.4228570759296417,28,9,9,28,19,21,19,21,0.9047619047619048,12,2,14,3.0,-1.0,10,18,4,0.1212121212121212,1.1150220667992945,252,1,1,1,1,0,0,6,1,7,1,2022,2023-2026,0,0.5404203266247645,0.1805990978613178,0.8593977154724818,0.4135410176531671,0.7644859813084112,0,155,M-M,material-material
21,C2DA63DEF6B,CF00FA35255,NO3,HNO3,material_entity,material_entity,0.7886918187141418,7,7,7,7,2,2,2,2,1.0,0,0,0,0.0,0.0,15,15,6,0.75,1.9566905708390188,49,1,1,1,1,0,0,1,0,1,0,2022,2023-2026,0,0.4088711050460509,0.1538661038276857,0.8067497403946002,0.5286708203530633,0.7634475597092419,0,156,M-M,material-material
22,C06F57A9BCA,C7802AE4324,polymer electrolyte,deep eutectic solvent,material_system,material_system,0.5795574188232422,13,11,11,13,9,4,4,9,0.4444444444444444,4,1,5,0.6666666666666666,0.0,19,7,5,0.2631578947368421,1.5710317919035046,143,1,1,1,1,0,0,2,0,2,0,2022,2023-2026,0,0.2216082591915113,0.1701948660826783,0.8223260643821391,0.4900519210799585,0.7632398753894082,0,157,M-M,material-material
23,C1AAB990F48,C9910E60ABA,SiO2,carbon nanotube,material_entity,material_entity,0.3570426106452942,3,28,3,28,4,33,4,33,0.1212121212121212,3,20,23,0.6666666666666666,4.666666666666667,4,13,2,0.0689655172413793,0.6144584062557255,84,1,1,1,1,0,0,1,11,12,1,2022,2023-2026,0,0.597463629438483,0.2168861036565158,0.8980269989615784,0.2957528556593977,0.7595015576323987,0,160,M-M,material-material
24,C06F57A9BCA,C9642D16DCA,polymer electrolyte,graphene oxide,material_system,material_entity,0.2922075390815735,13,18,13,18,9,9,9,9,1.0,4,5,9,0.6666666666666666,1.0,19,10,2,0.0689655172413793,0.5861012960030875,234,1,1,0,1,0,0,2,4,6,1,2022,2023-2026,0,0.4762444772917797,0.2270658917837525,0.9009345794392524,0.2752855659397715,0.7565939771547249,0,164,M-M,material-material
25,C1DF01A6473,C2AB2ABA9A6,PEDOT:PSS,dimethyl sulfoxide (DMSO),material_entity,material_entity,0.2928932011127472,36,12,12,36,46,7,7,46,0.1521739130434782,30,1,31,6.333333333333333,-1.3333333333333333,10,9,8,0.2,2.492889146138222,432,1,1,1,1,0,0,0,1,1,0,2022,2023-2026,0,0.3393072992696304,0.1199007565722204,0.7527518172377986,0.6514226375908618,0.7547248182762202,0,167,M-M,material-material
1,C6181968680,CE6FC512ED2,graphene,dynamic crosslinked gel network,material_entity,gel_microstructure,0.2073949128389358,28,26,26,28,19,9,9,19,0.4736842105263157,12,7,19,3.0,1.6666666666666667,10,3,11,0.2558139534883721,3.312105189530183,728,1,1,0,0,1,0,6,2,8,1,2022,2023-2026,0,0.8643905316296338,0.2516560114859075,0.9398753894080996,0.7012980269989615,0.9264797507788164,1,4,M-X,material-mechanism
2,C4B2BA55977,C7932B1CE8C,KNO3,chaotropic polymer-water disruption,material_entity,gel_microstructure,0.1484483033418655,10,17,10,17,2,4,2,4,0.5,2,2,4,0.6666666666666666,0.0,2,4,6,0.2857142857142857,2.0679485123441186,170,1,1,0,0,1,0,2,5,7,1,2022,2023-2026,0,0.9312672864662904,0.4737818573686709,0.987435098650052,0.4704049844236759,0.8847352024922119,1,20,M-X,material-mechanism
