pair_id,iTE_relation,TG_relation,iTE_paper,TG_paper,exact,semantic,relation_constrained,neighborhood,neighborhood_component,role_component,predicate_component,tie
PAIR-a830846904d6,MP1-iTE-P0334-01,MP1-TG-P0003-02,P0334,P0003,0,0.8549778014421463,0.6557355709373951,0.5312551234165828,0.03333333333333333,0.5,0.0,a830846904d6bc29b235fdb03bbe331c6e6fd47767d2dc8c75f5a2bf2efe570b
PAIR-4847769e94da,MP1-iTE-P0334-01,MP1-TG-P0143-01,P0334,P0143,0,0.761726513504982,0.49512223377823833,0.3960977870225907,0.0,0.0,0.0,4847769e94daeb46cb2692a694a7fd0f9c0cd68809a5435654848f5d99f8753a
PAIR-efe1360d46a3,MP1-iTE-P0334-01,MP1-TG-P0143-02,P0334,P0143,0,0.8445015251636505,0.6489259913563729,0.525807459751765,0.03333333333333333,0.5,0.0,efe1360d46a39812c080403118e51defbff515311c5236d408575bc80b8c9091
PAIR-efd72a554276,MP1-iTE-P0334-01,MP1-TG-P0145-01,P0334,P0145,0,0.8433399796485901,0.6481709867715836,0.5252034560839336,0.03333333333333333,0.5,0.0,efd72a5542761bbea91736f28b2df35a7fce8a50e7e92442c6a4da720463b421
PAIR-b1474a0e27cb,MP1-iTE-P0334-01,MP1-TG-P0146-01,P0334,P0146,0,0.7345902323722839,0.5774836510419846,0.4619869208335877,0.0,0.5,0.0,b1474a0e27cb75c843d02fcb2f4e274f3e22b427cbe1b625be33bbe51497e695
PAIR-35b74a28c63e,MP1-iTE-P0334-01,MP1-TG-P0146-02,P0334,P0146,0,0.7528015524148941,0.5893210090696812,0.471456807255745,0.0,0.5,0.0,35b74a28c63e831c47a7734b0e568029f55aea40ae7d5f6bc8e5c6376a1e5ec5
PAIR-22b6d4f06494,MP1-iTE-P0334-01,MP1-TG-P0146-03,P0334,P0146,0,0.7929876446723938,0.615441969037056,0.4923535752296448,0.0,0.5,0.0,22b6d4f06494a647387c728604634697906815a3bf67a4c083337ec26e8a6782
PAIR-e2dad88b65f8,MP1-iTE-P0334-01,MP1-TG-P0146-05,P0334,P0146,0,0.8433399796485901,0.6481709867715836,0.5252034560839336,0.03333333333333333,0.5,0.0,e2dad88b65f8bd69b535377365d5fa5358ebc447127aedad5b6da3f5fe634d38
PAIR-ca1bae84bce5,MP1-iTE-P0334-01,MP1-TG-P0159-01,P0334,P0159,0,0.8282636255025864,0.6383713565766811,0.5106970852613449,0.0,0.5,0.0,ca1bae84bce5895146d2c40b4d12294d2844ca360779ce1024eed1a98ed04c5f
PAIR-0394addd9d0d,MP1-iTE-P0334-01,MP1-TG-P0174-01,P0334,P0174,0,0.8186890929937363,0.6321479104459286,0.5128611854996,0.03571428571428571,0.5,0.0,0394addd9d0dc588446e23516022c33f78639c68eefadc831bf1fdee82659236
PAIR-984ccac06dbe,MP1-iTE-P0334-01,MP1-TG-P0174-02,P0334,P0174,0,0.8042379021644592,0.6227546364068985,0.49820370912551887,0.0,0.5,0.0,984ccac06dbe6d747c310662f42405f2266681c678a44357ea2dac91ab44d4cd
