cutoff_year,ite_donor_material,tg_anchor_material,u_degree_all,v_degree_all,u_degree_tg,v_degree_tg,u_degree_ite,v_degree_ite,common_neighbors,adamic_adar,preferential_attachment,shortest_path,ite_lead_years,ite_count,tg_donor_count,tg_anchor_count,ml_score,graph_score,hybrid_score,material_prediction_score
2026,PEDOT:PSS conductor,acetonitrile/nitrile solvent,13,5,1,4,13,2,2,0.6867643245600952,65,2,11,86,3,6,0.5369854109475436,0.8993559718969555,0.5765807962529275,0.5369854109475436
2026,PEDOT:PSS conductor,K-salt electrolyte,13,14,1,8,13,11,6,2.066377285888828,182,2,11,86,3,12,0.5364728292175673,1.638056206088993,0.8193208430913348,0.5364728292175673
2026,PEDOT:PSS conductor,ionic-liquid electrolyte,13,20,1,5,13,19,10,3.794696095798359,260,1,11,86,3,12,0.536262299574283,2.03864168618267,0.9524590163934425,0.536262299574283
2026,silica/inorganic nanoparticle filler,carbon nanotube scaffold,13,19,6,10,7,15,11,4.026521255794083,247,2,27,16,5,13,0.5354280662662843,1.9626463700234194,0.9318501170960187,0.5354280662662843
2026,Prussian-blue/hexacyanoferrate electrode,metal-oxide electrode,4,8,4,5,1,4,1,0.32351545314867247,32,2,0,2,4,6,0.5349147821259461,0.4537470725995316,0.40204918032786885,0.5349147821259461
2026,PEDOT:PSS conductor,gelatin matrix,13,15,1,7,13,14,7,2.4935539560913322,195,2,11,86,3,13,0.534013724187966,1.733255269320843,0.8480093676814988,0.534013724187966
2026,PEDOT:PSS conductor,cyclodextrin host,13,3,1,2,13,2,2,0.7088002341550811,39,2,11,86,3,3,0.5311863449661088,0.7603629976580797,0.5259953161592505,0.5311863449661088
2026,metal-oxide electrode,silica/inorganic nanoparticle filler,8,13,5,6,4,7,6,2.123036064467137,104,2,9,36,6,5,0.5306512211094047,1.3549765807962528,0.7185011709601874,0.5306512211094047
2026,PEDOT:PSS conductor,Na-salt electrolyte,13,19,1,9,13,15,7,2.483593691253323,247,1,11,86,3,10,0.530614963949654,1.904215456674473,0.9064402810304449,0.530614963949654
2026,PEDOT:PSS conductor,graphene/graphene-oxide scaffold,13,15,1,7,13,11,6,2.217354711281096,195,1,11,86,3,8,0.5300312928930858,1.7833723653395783,0.8629976580796253,0.5300312928930858
2026,graphene/graphene-oxide scaffold,silica/inorganic nanoparticle filler,15,13,7,6,11,7,8,2.998699621926318,195,1,0,33,8,5,0.5272360024751771,1.7740046838407495,0.8560889929742389,0.5272360024751771
2026,PEDOT:PSS conductor,Li-salt electrolyte,13,17,1,6,13,14,7,2.528127709682389,221,1,11,86,3,9,0.5271988414001759,1.8754098360655738,0.8902810304449649,0.5271988414001759
2026,graphene/graphene-oxide scaffold,Na-salt electrolyte,15,19,7,9,11,15,13,4.908024866161649,285,2,0,33,8,10,0.526678924353599,1.8973067915690867,0.8940281030444965,0.526678924353599
2026,graphene/graphene-oxide scaffold,Li-salt electrolyte,15,17,7,6,11,14,9,3.3408085106633343,255,1,0,33,8,9,0.526642779589473,1.9021077283372367,0.8992974238875879,0.526642779589473
2026,PEDOT:PSS conductor,deep-eutectic electrolyte,13,9,1,2,13,8,4,1.485426864023091,117,1,11,86,3,2,0.5263151138911814,1.4121194379391098,0.7355971896955503,0.5263151138911814
2026,silica/inorganic nanoparticle filler,ionic-liquid electrolyte,13,20,6,5,7,19,9,3.3927040246419695,260,1,27,16,5,12,0.5203217571089743,2.0353629976580794,0.9402810304449649,0.5203217571089743
2026,metal-oxide electrode,polyaniline conductor,8,9,5,4,4,6,1,0.36926937306885504,72,2,9,36,6,3,0.520302780463792,0.818559718969555,0.5360655737704918,0.520302780463792
2026,PEDOT:PSS conductor,cellulose nanofiber matrix,13,18,1,6,13,17,8,2.964448456949806,234,1,11,86,3,8,0.5188713319955023,1.9423887587822015,0.9112412177985949,0.5188713319955023
2026,Prussian-blue/hexacyanoferrate electrode,ethylene-glycol organohydrogel,4,8,4,4,1,5,2,0.6573236538440066,32,2,0,2,4,6,0.5135802012891091,0.5515222482435597,0.42482435597189694,0.5135802012891091
2026,silica/inorganic nanoparticle filler,gelatin matrix,13,15,6,7,7,14,7,2.466498073783567,195,1,27,16,5,13,0.511661262888455,1.8352459016393443,0.876112412177986,0.511661262888455
2026,graphene/graphene-oxide scaffold,gelatin matrix,15,15,7,7,11,14,7,2.6255628813332854,225,1,0,33,8,13,0.5087524205310987,1.7865339578454331,0.8585480093676815,0.5087524205310987
2026,ethylene-glycol organohydrogel,PVA polymer matrix,8,23,4,14,5,21,6,2.148343577718854,184,1,16,13,6,23,0.5059244230852076,1.7714871194379391,0.8440281030444965,0.5059244230852076
2026,acetonitrile/nitrile solvent,metal-oxide electrode,5,8,4,5,2,4,1,0.35295612386476116,40,2,0,2,6,6,0.5056242589579123,0.5425058548009367,0.4169789227166276,0.5056242589579123
2026,cellulose nanofiber matrix,Na-salt electrolyte,18,19,6,9,17,15,10,3.6088504967719848,342,1,1,47,8,10,0.5035077786526454,2.0019320843091335,0.9276346604215456,0.5035077786526454
