cutoff_year,ite_donor_material,tg_anchor_material,u_degree_all,v_degree_all,u_degree_tg,v_degree_tg,u_degree_ite,v_degree_ite,common_neighbors,adamic_adar,preferential_attachment,shortest_path,ite_lead_years,ite_count,tg_donor_count,tg_anchor_count,future_TG_material_pair_label,future_example_title,future_window,ml_score,graph_score,hybrid_score,material_prediction_score
2022,Na-salt electrolyte,metal-oxide electrode,12,1,8,0,5,1,0,0.0,12,3,7,16,5,2,1,Programmable Electrochemical Thermopower via Cation Storage Mode and Structural Order,2023-2026,0.09438257665361252,0.4652263374485596,0.19146090534979424,0.09438257665361252
2022,Cu-based redox electrolyte,PVA polymer matrix,2,12,1,3,1,9,1,0.43429448190325176,24,2,0,2,3,2,1,Modulating thermo-diffusion/galvanic coupling via ion speciation engineering enables high-performance ionic thermoelectric cells,2023-2026,0.09402621078681364,0.948971193415638,0.35720164609053495,0.09402621078681364
2022,polyaniline conductor,ionic-liquid electrolyte,5,16,2,3,3,15,3,1.778828190433341,80,1,16,7,1,8,0,,2023-2026,0.09335898313866597,1.7560699588477366,0.6339506172839505,0.09335898313866597
2022,PEDOT:PSS conductor,ionic-liquid electrolyte,10,16,0,3,10,15,7,3.6303214974604905,160,1,11,46,0,8,0,,2023-2026,0.09127984000512351,2.0563786008230456,0.7207818930041152,0.09127984000512351
2022,deep-eutectic electrolyte,K-salt electrolyte,2,9,0,7,2,6,1,0.40242960438184466,18,2,8,2,0,8,0,,2023-2026,0.09049338578838914,0.8776748971193417,0.32746913580246917,0.09049338578838914
2022,chitosan matrix,cyclodextrin host,3,1,0,1,3,0,0,0.0,3,3,9,3,0,2,0,,2023-2026,0.08921848350321201,0.27057613168724276,0.10534979423868313,0.08921848350321201
2022,TEMPO/viologen organic redox,K-salt electrolyte,2,9,0,7,2,6,1,0.4170323914242463,18,2,2,2,0,8,0,,2023-2026,0.08898026333502461,0.8671810699588478,0.3205761316872428,0.08898026333502461
2022,deep-eutectic electrolyte,Prussian-blue/hexacyanoferrate electrode,2,3,0,3,2,1,0,0.0,6,3,8,2,0,3,0,,2023-2026,0.08754390855206802,0.31059670781893006,0.12386831275720164,0.08754390855206802
2022,TEMPO/viologen organic redox,Prussian-blue/hexacyanoferrate electrode,2,3,0,3,2,1,0,0.0,6,3,2,2,0,3,0,,2023-2026,0.08283471126939729,0.289917695473251,0.11707818930041153,0.08283471126939729
2022,deep-eutectic electrolyte,acetonitrile/nitrile solvent,2,4,0,3,2,2,0,0.0,8,3,8,2,0,4,0,,2023-2026,0.08265372322464101,0.34351851851851856,0.137037037037037,0.08265372322464101
2022,silica/inorganic nanoparticle filler,PVA polymer matrix,3,12,0,3,3,9,2,0.8415721071852287,36,2,27,7,1,2,1,Thermogalvanic gel patch for self-powered human motion recognition enabled by photo-thermal-electric conversion,2023-2026,0.08253818344020025,1.3998971193415637,0.503395061728395,0.08253818344020025
2022,ethylene-glycol organohydrogel,cellulose nanofiber matrix,1,11,0,3,1,8,1,0.36067376022224085,11,2,16,8,0,2,0,,2023-2026,0.08245911669170822,0.7412551440329218,0.2598765432098766,0.08245911669170822
2022,cellulose nanofiber matrix,cyclodextrin host,11,1,3,1,8,0,1,0.45511961331341866,11,2,1,17,2,2,0,,2023-2026,0.08214185591118199,0.7498971193415638,0.2637860082304527,0.08214185591118199
2022,gelatin matrix,ionic-liquid electrolyte,8,16,5,3,5,15,4,2.1049696806418066,128,1,0,5,4,8,0,,2023-2026,0.08190107438628047,1.8267489711934155,0.6421810699588477,0.08190107438628047
2022,Cu-based redox electrolyte,ionic-liquid electrolyte,2,16,1,3,1,15,1,0.43429448190325176,32,2,0,2,3,8,0,,2023-2026,0.08120266069135226,1.0497942386831276,0.3812757201646091,0.08120266069135226
2022,PVA polymer matrix,graphene/graphene-oxide scaffold,12,10,3,5,9,6,5,2.0189042702252653,120,2,8,10,2,5,0,,2023-2026,0.07887091573717679,1.804320987654321,0.6286008230452674,0.07887091573717679
2022,chitosan matrix,metal-oxide electrode,3,1,0,0,3,1,0,0.0,3,3,9,3,0,2,0,,2023-2026,0.07518892461830977,0.27057613168724276,0.08950617283950617,0.07518892461830977
2022,PVA polymer matrix,cyclodextrin host,12,1,3,1,9,0,1,0.45511961331341866,12,2,8,10,2,2,0,,2023-2026,0.07457069346188015,0.8253086419753087,0.29403292181069957,0.07457069346188015
2022,Li-salt electrolyte,ionic-liquid electrolyte,9,16,2,3,7,15,7,3.254389338621775,144,1,1,11,3,8,0,,2023-2026,0.07194602124805027,1.9648148148148148,0.6751028806584362,0.07194602124805027
2022,Li-salt electrolyte,PVA polymer matrix,9,12,2,3,7,9,7,2.914540709809701,108,2,1,11,3,2,1,Thermoelectric Hydrogel Electronic Skin for Passive Multimodal Physiological Perception,2023-2026,0.07116119402072815,1.8047325102880658,0.625514403292181,0.07116119402072815
2022,TEMPO/viologen organic redox,glycerol organohydrogel,2,6,0,6,2,0,0,0.0,12,3,2,2,0,2,0,,2023-2026,0.06700835392669248,0.45658436213991765,0.1573045267489712,0.06700835392669248
2022,chitosan matrix,ionic-liquid electrolyte,3,16,0,3,3,15,2,0.8367240862850964,48,1,9,3,0,8,0,,2023-2026,0.06605611685070154,1.4919753086419751,0.5209876543209877,0.06605611685070154
2022,TEMPO/viologen organic redox,graphene/graphene-oxide scaffold,2,10,0,5,2,6,2,0.7777061516464872,20,2,2,2,0,5,0,,2023-2026,0.06597552959706368,1.0596707818930042,0.3751028806584363,0.06597552959706368
2022,ethylene-glycol organohydrogel,PVA polymer matrix,1,12,0,3,1,9,1,0.36067376022224085,12,2,16,8,0,2,0,,2023-2026,0.06574594306644663,0.7824074074074074,0.26800411522633744,0.06574594306644663
2022,chitosan matrix,Na-salt electrolyte,3,12,0,8,3,5,2,0.7631033646040855,36,2,9,3,0,5,0,,2023-2026,0.06382720860202783,1.2974279835390945,0.44711934156378597,0.06382720860202783
