mapping_candidate_id,candidate_edge_id,edge_role,ite_endpoint_global_concept_id,ite_endpoint_label,ite_endpoint_category,ite_endpoint_layer_node_id,tg_endpoint_global_concept_id,tg_endpoint_label,tg_endpoint_category,tg_endpoint_layer_node_id,unordered_group_id,path_count,distinct_shared_route_count,candidate_path_ids,shared_global_concept_ids,shared_labels,ite_pair_ids,tg_pair_ids,source_closure_group_ids,best_evidence_grade,best_evidence_grade_order,worst_evidence_grade,worst_evidence_grade_order,best_grade_path_count,best_grade_distinct_shared_route_count,best_path_ids,R2_path_count,R1_path_count,R0_path_count,unclassified_path_count,representative_best_path_id,representative_best_shared_global_concept_id,representative_best_shared_label,representative_best_minimum_pair_paper_count,representative_best_minimum_pair_sentence_count,representative_best_shared_route_hubness,ite_semantic_status_signature,tg_semantic_status_signature,cross_endpoint_status_in_iTE,cross_endpoint_status_in_TG,discovery_bucket,human_confirmation_status,cross_paper_compatibility_status,cross_endpoint_evaluation_status,novelty_status,novelty_claim_allowed_signature,novelty_claim_allowed,scientific_claim_status,candidate_edge_status,graph_eligible,orientation_count,is_mirrored,mirror_mapping_candidate_id,discovery_bucket_order,identity_blind_evidence_audit_order,discovery_queue_order_within_bucket,evidence_order_policy_id,discovery_queue_policy_id
CM_8f3f3f3d90ac,CM_8f3f3f3d90ac,iTE_role_endpoint_to_TG_role_endpoint_noncausal,GC_e8476eac67cb,thermo power,outcome_or_property,LN_f1a4a17efceb,GC_e998988ab136,hot electrode,material_or_structure,LN_c478838dae26,UG_8f3f3f3d90ac,1,1,TC_5def12105bee,GC_f50bbe3cdc5d,temperature gradient,IP_45fb61e5dece,TP_b1d4dcf6052e,CL_7b826aae9081,R0_cooccurrence_only_or_rejected,3,R0_cooccurrence_only_or_rejected,3,1,1,TC_5def12105bee,0,0,1,0,TC_5def12105bee,GC_f50bbe3cdc5d,temperature gradient,1,1,1204,cooccurrence_only,cooccurrence_only,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,both_not_observed_in_frozen_direct_corpora,not_applicable,untested,not_tested,not_assessed,False,False,retrieval_candidate_only,candidate_not_observed,False,1,False,,1,7125,3450,identity_blind_real_path_grade_then_support_v2_no_status_bucket_no_weighted_score,optional_within_status_bucket_evidence_then_lower_shared_hubness_v1
CM_8f3f5441e239,CM_8f3f5441e239,iTE_role_endpoint_to_TG_role_endpoint_noncausal,GC_c21beccead48,conductivity,outcome_or_property,LN_a367f5923d44,GC_e80c6f4727d3,pin structured electrode,material_or_structure,LN_1a519d6fcaeb,UG_8f3f5441e239,1,1,TC_dd1da709d3f5,GC_f50bbe3cdc5d,temperature gradient,IP_b30a0d7648b9,TP_48f8f20f3b38,CL_ae6f3d517312,R0_cooccurrence_only_or_rejected,3,R0_cooccurrence_only_or_rejected,3,1,1,TC_dd1da709d3f5,0,0,1,0,TC_dd1da709d3f5,GC_f50bbe3cdc5d,temperature gradient,1,1,1204,cooccurrence_only,cooccurrence_only,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,both_not_observed_in_frozen_direct_corpora,not_applicable,untested,not_tested,not_assessed,False,False,retrieval_candidate_only,candidate_not_observed,False,1,False,,1,7126,3451,identity_blind_real_path_grade_then_support_v2_no_status_bucket_no_weighted_score,optional_within_status_bucket_evidence_then_lower_shared_hubness_v1
CM_8f3f7598531e,CM_8f3f7598531e,iTE_role_endpoint_to_TG_role_endpoint_noncausal,GC_7abe572670fb,output power,outcome_or_property,LN_c1e2f649c67b,GC_46bb42014996,short current,outcome_or_property,LN_cb0292dab392,UG_226a102b5ca5,1,1,TC_35492b966b7d,GC_d18c91f9affa,temperature difference,IP_81365a922834,TP_429dd9a15d4b,CL_5ced35d3a576,R0_cooccurrence_only_or_rejected,3,R0_cooccurrence_only_or_rejected,3,1,1,TC_35492b966b7d,0,0,1,0,TC_35492b966b7d,GC_d18c91f9affa,temperature difference,1,1,2765,cooccurrence_only,cooccurrence_only,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,both_not_observed_in_frozen_direct_corpora,not_applicable,untested,not_tested,not_assessed,False,False,retrieval_candidate_only,candidate_not_observed,False,1,False,,1,7127,5312,identity_blind_real_path_grade_then_support_v2_no_status_bucket_no_weighted_score,optional_within_status_bucket_evidence_then_lower_shared_hubness_v1
CM_8f3f8363e1b9,CM_8f3f8363e1b9,iTE_role_endpoint_to_TG_role_endpoint_noncausal,GC_b380cf771d45,achieving thermoelectric conversion,mechanism_or_process,LN_31d51fbd164e,GC_f8594c410875,power density,outcome_or_property,LN_78fbc04a7cc8,UG_8f3f8363e1b9,1,1,TC_eee437306d10,GC_4a92e5f4fe38,hydrogel,IP_d603933555eb,TP_0a39eb061a1c,CL_3ac4ce3bbb14,R0_cooccurrence_only_or_rejected,3,R0_cooccurrence_only_or_rejected,3,1,1,TC_eee437306d10,0,0,1,0,TC_eee437306d10,GC_4a92e5f4fe38,hydrogel,1,1,5925,cooccurrence_only,cooccurrence_only,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,both_not_observed_in_frozen_direct_corpora,not_applicable,untested,not_tested,not_assessed,False,False,retrieval_candidate_only,candidate_not_observed,False,1,False,,1,7128,9640,identity_blind_real_path_grade_then_support_v2_no_status_bucket_no_weighted_score,optional_within_status_bucket_evidence_then_lower_shared_hubness_v1
CM_8f4b36baf68c,CM_8f4b36baf68c,iTE_role_endpoint_to_TG_role_endpoint_noncausal,GC_8289784c9816,thermoelectric ionogel electrolyte,material_or_structure,LN_3e92e273ed60,GC_9ac106b7e571,mass transfer,mechanism_or_process,LN_79ba2812d66f,UG_8f4b36baf68c,1,1,TC_8eb2914b19ba,GC_4a92e5f4fe38,hydrogel,IP_0a219cc2b827,TP_93f397fbf0b1,CL_75ee069c7022,R0_cooccurrence_only_or_rejected,3,R0_cooccurrence_only_or_rejected,3,1,1,TC_8eb2914b19ba,0,0,1,0,TC_8eb2914b19ba,GC_4a92e5f4fe38,hydrogel,1,1,5925,cooccurrence_only,cooccurrence_only,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,both_not_observed_in_frozen_direct_corpora,not_applicable,untested,not_tested,not_assessed,False,False,retrieval_candidate_only,candidate_not_observed,False,1,False,,1,7129,9641,identity_blind_real_path_grade_then_support_v2_no_status_bucket_no_weighted_score,optional_within_status_bucket_evidence_then_lower_shared_hubness_v1
CM_8f4daf0123f5,CM_8f4daf0123f5,iTE_role_endpoint_to_TG_role_endpoint_noncausal,GC_1e4abffd9295,bmimbf4,literal_formula,LN_e00534d463f7,GC_8fad6de82bba,diffusion coefficient,outcome_or_property,LN_93fd86803a2b,UG_8f4daf0123f5,1,1,TC_38aec8899173,GC_9f138d3cd94d,diffusion,IP_998f913e81c2,TP_be289167c30d,CL_f3a73ce3c98b,R0_cooccurrence_only_or_rejected,3,R0_cooccurrence_only_or_rejected,3,1,1,TC_38aec8899173,0,0,1,0,TC_38aec8899173,GC_9f138d3cd94d,diffusion,1,1,119,cooccurrence_only,cooccurrence_only,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,both_not_observed_in_frozen_direct_corpora,not_applicable,untested,not_tested,not_assessed,False,False,retrieval_candidate_only,candidate_not_observed,False,1,False,,1,7130,1547,identity_blind_real_path_grade_then_support_v2_no_status_bucket_no_weighted_score,optional_within_status_bucket_evidence_then_lower_shared_hubness_v1
CM_8f53f92d30f6,CM_8f53f92d30f6,iTE_role_endpoint_to_TG_role_endpoint_noncausal,GC_21faa67da1fd,conversion,mechanism_or_process,LN_5c34d205f4c3,GC_4b2bb4f3be59,desalination kinetics,mechanism_or_process,LN_7538bd4adad2,UG_8f53f92d30f6,1,1,TC_4f6d26e1dcd0,GC_d18c91f9affa,temperature difference,IP_7d62585397af,TP_45d687af1354,CL_77c7e843ef62,R0_cooccurrence_only_or_rejected,3,R0_cooccurrence_only_or_rejected,3,1,1,TC_4f6d26e1dcd0,0,0,1,0,TC_4f6d26e1dcd0,GC_d18c91f9affa,temperature difference,1,1,2765,cooccurrence_only,cooccurrence_only,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,both_not_observed_in_frozen_direct_corpora,not_applicable,untested,not_tested,not_assessed,False,False,retrieval_candidate_only,candidate_not_observed,False,1,False,,1,7131,5313,identity_blind_real_path_grade_then_support_v2_no_status_bucket_no_weighted_score,optional_within_status_bucket_evidence_then_lower_shared_hubness_v1
CM_8f5b93f6a494,CM_8f5b93f6a494,iTE_role_endpoint_to_TG_role_endpoint_noncausal,GC_b03a6b8899f1,zn2,literal_formula,LN_bb7fb2491356,GC_e9cefeab69ae,redox ion transport,mechanism_or_process,LN_0b3d024785e9,UG_8f5b93f6a494,1,1,TC_f39e88e659d4,GC_4a92e5f4fe38,hydrogel,IP_bb113eac6798,TP_98f25d8f06ad,CL_206ba5435c34,R0_cooccurrence_only_or_rejected,3,R0_cooccurrence_only_or_rejected,3,1,1,TC_f39e88e659d4,0,0,1,0,TC_f39e88e659d4,GC_4a92e5f4fe38,hydrogel,1,1,5925,cooccurrence_only,cooccurrence_only,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,both_not_observed_in_frozen_direct_corpora,not_applicable,untested,not_tested,not_assessed,False,False,retrieval_candidate_only,candidate_not_observed,False,1,False,,1,7132,9642,identity_blind_real_path_grade_then_support_v2_no_status_bucket_no_weighted_score,optional_within_status_bucket_evidence_then_lower_shared_hubness_v1
CM_8f5bb3fd616a,CM_8f5bb3fd616a,iTE_role_endpoint_to_TG_role_endpoint_noncausal,GC_d46d2d34bae3,peak power,outcome_or_property,LN_a83b9b9842dc,GC_d79839c8cbbe,temperature insensitive power density,outcome_or_property,LN_f55dd31b1f8d,UG_8f5bb3fd616a,1,1,TC_5e5977ea5657,GC_d18c91f9affa,temperature difference,IP_db012264a3d5,TP_bb1fc2d34b22,CL_a78ca651c189,R0_cooccurrence_only_or_rejected,3,R0_cooccurrence_only_or_rejected,3,1,1,TC_5e5977ea5657,0,0,1,0,TC_5e5977ea5657,GC_d18c91f9affa,temperature difference,1,1,2765,cooccurrence_only,cooccurrence_only,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,both_not_observed_in_frozen_direct_corpora,not_applicable,untested,not_tested,not_assessed,False,False,retrieval_candidate_only,candidate_not_observed,False,1,False,,1,7133,5314,identity_blind_real_path_grade_then_support_v2_no_status_bucket_no_weighted_score,optional_within_status_bucket_evidence_then_lower_shared_hubness_v1
CM_8f60a89211a7,CM_8f60a89211a7,iTE_role_endpoint_to_TG_role_endpoint_noncausal,GC_49990adc781e,energy conversion,mechanism_or_process,LN_9ecdd2aa2353,GC_f9e417c07faf,quasi solid state electrolyte,material_or_structure,LN_7f11c4c65524,UG_8f60a89211a7,1,1,TC_02f8f0ed63fb,GC_f50bbe3cdc5d,temperature gradient,IP_df5184589a7f,TP_0f9a57a4d60f,CL_53c6054cd6eb,R0_cooccurrence_only_or_rejected,3,R0_cooccurrence_only_or_rejected,3,1,1,TC_02f8f0ed63fb,0,0,1,0,TC_02f8f0ed63fb,GC_f50bbe3cdc5d,temperature gradient,1,1,1204,cooccurrence_only,cooccurrence_only,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,both_not_observed_in_frozen_direct_corpora,not_applicable,untested,not_tested,not_assessed,False,False,retrieval_candidate_only,candidate_not_observed,False,1,False,,1,7134,3452,identity_blind_real_path_grade_then_support_v2_no_status_bucket_no_weighted_score,optional_within_status_bucket_evidence_then_lower_shared_hubness_v1
