unordered_group_id,endpoint_a_global_concept_id,endpoint_a_label,endpoint_b_global_concept_id,endpoint_b_label,orientation_count,is_mirrored,oriented_mapping_candidate_ids,unordered_path_count,candidate_path_ids,distinct_shared_route_count,shared_global_concept_ids,best_evidence_grade,best_evidence_grade_order,worst_evidence_grade,worst_evidence_grade_order,R2_path_count,R1_path_count,R0_path_count,unclassified_path_count,candidate_group_status,graph_eligible
UG_61f4e5dd007e,GC_4b155e3c784d,thermoelectric conversion,GC_9acdf2dee5fd,hydrogen bond network,1,False,CM_c08141165b40,1,TC_63bf5b594b58,1,GC_c2d00d7f1242,R0_cooccurrence_only_or_rejected,3,R0_cooccurrence_only_or_rejected,3,0,0,1,0,candidate_not_observed,False
UG_61f94b1f092a,GC_8ad5b453cc37,ion diffusion,GC_fd6c2618759c,polyanionic polymer hydrogel,1,False,CM_61f94b1f092a,1,TC_228ec2c773b9,1,GC_99cc5cc07851,R0_cooccurrence_only_or_rejected,3,R0_cooccurrence_only_or_rejected,3,0,0,1,0,candidate_not_observed,False
UG_62050beb7f7a,GC_7fd8c2696d32,solvation,GC_fd319bff8caa,smart thermogalvanic hydrogel film,1,False,CM_62050beb7f7a,1,TC_dbc5b830a9a1,1,GC_78d65254f96d,R0_cooccurrence_only_or_rejected,3,R0_cooccurrence_only_or_rejected,3,0,0,1,0,candidate_not_observed,False
UG_6207d4b6d9c7,GC_2a35840dc834,molecular network,GC_8335aa66a8d7,single solvent,1,False,CM_6207d4b6d9c7,1,TC_0c96132c078f,1,GC_4a92e5f4fe38,R0_cooccurrence_only_or_rejected,3,R0_cooccurrence_only_or_rejected,3,0,0,1,0,candidate_not_observed,False
UG_620e520a5c6c,GC_49990adc781e,energy conversion,GC_5ce88e5ad7e0,thermal migration,1,False,CM_3c0666042779,3,TC_56b72e8f5238; TC_844973954adc; TC_9e666236cfb8,3,GC_0958e69b1fba; GC_4a92e5f4fe38; GC_f50bbe3cdc5d,R0_cooccurrence_only_or_rejected,3,R0_cooccurrence_only_or_rejected,3,0,0,3,0,candidate_not_observed,False
UG_62176011dff6,GC_7610f04200b6,thermoelectric output power,GC_78497a3caea5,li+ ion,1,False,CM_62176011dff6,1,TC_f0ef509de959,1,GC_4a92e5f4fe38,R0_cooccurrence_only_or_rejected,3,R0_cooccurrence_only_or_rejected,3,0,0,1,0,candidate_not_observed,False
UG_6217ddfebde5,GC_bd259a9cd63b,ultrahigh power,GC_c2a122dae280,heat to power,1,False,CM_6217ddfebde5,1,TC_5695e66b5e7a,1,GC_4a92e5f4fe38,R0_cooccurrence_only_or_rejected,3,R0_cooccurrence_only_or_rejected,3,0,0,1,0,candidate_not_observed,False
UG_6227a5249a6a,GC_917c47d737a9,remarkable stability,GC_c2d00d7f1242,ion transport,1,False,CM_6227a5249a6a,1,TC_43979b34e76b,1,GC_4a92e5f4fe38,R0_cooccurrence_only_or_rejected,3,R0_cooccurrence_only_or_rejected,3,0,0,1,0,candidate_not_observed,False
UG_622a3040a36f,GC_ba6435c00022,nano channel,GC_bbb29d51b9cd,output voltage,1,False,CM_622a3040a36f,1,TC_e0ae3c78c5ed,1,GC_f50bbe3cdc5d,R0_cooccurrence_only_or_rejected,3,R0_cooccurrence_only_or_rejected,3,0,0,1,0,candidate_not_observed,False
UG_6240cc9c88fc,GC_46a93ade6925,inorganic salt,GC_d7dd34855c70,effective thermo diffusion,1,False,CM_8001e892afc1,1,TC_22f4d7ab3a5d,1,GC_4a92e5f4fe38,R0_cooccurrence_only_or_rejected,3,R0_cooccurrence_only_or_rejected,3,0,0,1,0,candidate_not_observed,False
UG_624b87e2c7b6,GC_273b14507b1d,thermoelectric transport,GC_dad97d797387,redox reaction,1,False,CM_624b87e2c7b6,1,TC_34abbc423581,1,GC_21faa67da1fd,R0_cooccurrence_only_or_rejected,3,R0_cooccurrence_only_or_rejected,3,0,0,1,0,candidate_not_observed,False
UG_624e2b11fb69,GC_04b2506f6ea3,excellent mechanical property,GC_78b3828d184a,marginal solvation,1,False,CM_624e2b11fb69,1,TC_2e088e3106d0,1,GC_4a92e5f4fe38,R0_cooccurrence_only_or_rejected,3,R0_cooccurrence_only_or_rejected,3,0,0,1,0,candidate_not_observed,False
UG_624ff712e673,GC_3130d1eb0f84,maximum short circuit current,GC_bbb29d51b9cd,output voltage,1,False,CM_4ea51563e6d6,1,TC_69085c509dec,1,GC_d18c91f9affa,R0_cooccurrence_only_or_rejected,3,R0_cooccurrence_only_or_rejected,3,0,0,1,0,candidate_not_observed,False
UG_625050005edf,GC_671f2584b7e5,water concentration gradient,GC_c6f96235805f,tecs,1,False,CM_625050005edf,1,TC_c51d57374516,1,GC_d18c91f9affa,R0_cooccurrence_only_or_rejected,3,R0_cooccurrence_only_or_rejected,3,0,0,1,0,candidate_not_observed,False
