paper_id,title,doi,node_role,left_node_id,left_label,right_node_id,right_label,review_status
P1440,"Effects of tilling atoms Ba, Ce, Y and substituting atoms Fe, Ni on lattice thermal conductivity of RyMxCO4-xSb12",10.1016/j.jallcom.2004.08.105,outcome_property,TC_29e6f835676f,thermal conductivity,TC_8bc0b47e1cb1,lowers lattice thermal conductivity,retained_not_auto_merged
P1440,"Effects of tilling atoms Ba, Ce, Y and substituting atoms Fe, Ni on lattice thermal conductivity of RyMxCO4-xSb12",10.1016/j.jallcom.2004.08.105,outcome_property,TC_753f72002a8f,lattice thermal conductivity,TC_8bc0b47e1cb1,lowers lattice thermal conductivity,retained_not_auto_merged
P1443,Enhancing the thermoelectric performance of Cu3SnS4-based solid solutions through coordination of the Seebeck coefficient and carrier concentration,10.1039/c7ta05253g,outcome_property,TC_29e6f835676f,thermal conductivity,TC_753f72002a8f,lattice thermal conductivity,retained_not_auto_merged
P1443,Enhancing the thermoelectric performance of Cu3SnS4-based solid solutions through coordination of the Seebeck coefficient and carrier concentration,10.1039/c7ta05253g,outcome_property,TC_29e6f835676f,thermal conductivity,TC_8bc0b47e1cb1,lowers lattice thermal conductivity,retained_not_auto_merged
P1443,Enhancing the thermoelectric performance of Cu3SnS4-based solid solutions through coordination of the Seebeck coefficient and carrier concentration,10.1039/c7ta05253g,outcome_property,TC_621f048a7e27,high seebeck,TC_7d3a34d8db98,high seebeck coefficient,retained_not_auto_merged
P1443,Enhancing the thermoelectric performance of Cu3SnS4-based solid solutions through coordination of the Seebeck coefficient and carrier concentration,10.1039/c7ta05253g,outcome_property,TC_753f72002a8f,lattice thermal conductivity,TC_8bc0b47e1cb1,lowers lattice thermal conductivity,retained_not_auto_merged
P1443,Enhancing the thermoelectric performance of Cu3SnS4-based solid solutions through coordination of the Seebeck coefficient and carrier concentration,10.1039/c7ta05253g,outcome_property,TC_7d3a34d8db98,high seebeck coefficient,TC_fababc7795c1,seebeck coefficient,retained_not_auto_merged
P1447,"Highly Conductive, Ultrastrong, and Flexible Wet-Spun PEDOT:PSS/ Ionic Liquid Fibers for Wearable Electronics",10.1021/acsami.3c00155,material_system,TC_4f82a6a840d2,PEDOT:PSS,TC_ee0a98d9cc93,PEDOT,retained_not_auto_merged
P1447,"Highly Conductive, Ultrastrong, and Flexible Wet-Spun PEDOT:PSS/ Ionic Liquid Fibers for Wearable Electronics",10.1021/acsami.3c00155,outcome_property,TC_9f58ed907e7b,electrical conductivity,TC_c6879e15a4a5,high electrical conductivity,retained_not_auto_merged
P1449,Stretchable and Biocompatible Transparent Electrodes for Multimodal Biosignal Sensing from Exposed Skin,10.1002/aelm.202300075,material_system,TC_4f82a6a840d2,PEDOT:PSS,TC_ee0a98d9cc93,PEDOT,retained_not_auto_merged
P1453,"Enhanced electronic and thermoelectric properties of p-type doped filled skutterudites RFe4Sb12 (R=Pr, Nd)",10.1063/5.0019797,outcome_property,TC_29e6f835676f,thermal conductivity,TC_496621b9c307,lowers thermal conductivity,retained_not_auto_merged
P1453,"Enhanced electronic and thermoelectric properties of p-type doped filled skutterudites RFe4Sb12 (R=Pr, Nd)",10.1063/5.0019797,outcome_property,TC_29e6f835676f,thermal conductivity,TC_753f72002a8f,lattice thermal conductivity,retained_not_auto_merged
P1453,"Enhanced electronic and thermoelectric properties of p-type doped filled skutterudites RFe4Sb12 (R=Pr, Nd)",10.1063/5.0019797,outcome_property,TC_621f048a7e27,high seebeck,TC_7d3a34d8db98,high seebeck coefficient,retained_not_auto_merged
P1453,"Enhanced electronic and thermoelectric properties of p-type doped filled skutterudites RFe4Sb12 (R=Pr, Nd)",10.1063/5.0019797,outcome_property,TC_7d3a34d8db98,high seebeck coefficient,TC_fababc7795c1,seebeck coefficient,retained_not_auto_merged
P1454,"Thermoelectric textiles with nanostructured copper iodide films on cotton and polyester fabrics, stabilized and reinforced with nanocellulose",10.1007/s10854-022-08538-6,outcome_property,TC_45d7184bddc3,output power density,TC_a6ad80f6088e,power density,retained_not_auto_merged
P1454,"Thermoelectric textiles with nanostructured copper iodide films on cotton and polyester fabrics, stabilized and reinforced with nanocellulose",10.1007/s10854-022-08538-6,evidence_method,TC_9f2a83a40ea0,scanning electron microscopy,TC_d22039aa1053,electron microscopy,retained_not_auto_merged
P1456,Ba2-xBixCoRuO6 (0.0 ≤ x ≤ 0.6) Hexagonal Double-Perovskite-Type Oxides as Promising p-Type Thermoelectric Materials,10.1021/acs.inorgchem.1c02442,outcome_property,TC_8c562d80af5e,p-type seebeck,TC_d4eae4c54280,p-type seebeck coefficient,retained_not_auto_merged
P1456,Ba2-xBixCoRuO6 (0.0 ≤ x ≤ 0.6) Hexagonal Double-Perovskite-Type Oxides as Promising p-Type Thermoelectric Materials,10.1021/acs.inorgchem.1c02442,outcome_property,TC_d4eae4c54280,p-type seebeck coefficient,TC_fababc7795c1,seebeck coefficient,retained_not_auto_merged
P1456,Ba2-xBixCoRuO6 (0.0 ≤ x ≤ 0.6) Hexagonal Double-Perovskite-Type Oxides as Promising p-Type Thermoelectric Materials,10.1021/acs.inorgchem.1c02442,evidence_method,TC_9f2a83a40ea0,scanning electron microscopy,TC_d22039aa1053,electron microscopy,retained_not_auto_merged
P1465,Low effective mass leading to an improved ZT value by 32% for n-type BiCuSeO: a first-principles study,10.1039/c4ta02050b,outcome_property,TC_29e6f835676f,thermal conductivity,TC_753f72002a8f,lattice thermal conductivity,retained_not_auto_merged
