scenario,source_support_threshold,years_since_source_support,at_risk,events,censored,survival_without_target_cooccurrence,cumulative_target_cooccurrence
exclusive_iTE_to_TG_plus_hybrid_sensitivity,3,4,3,0,1,0.7142857142857144,0.2857142857142856
exclusive_iTE_to_TG_plus_hybrid_sensitivity,3,5,2,0,1,0.7142857142857144,0.2857142857142856
exclusive_iTE_to_TG_plus_hybrid_sensitivity,3,6,1,0,1,0.7142857142857144,0.2857142857142856
legacy_dual_assignment_replication,1,0,262,0,67,1.0,0.0
legacy_dual_assignment_replication,1,1,195,10,31,0.9487179487179487,0.05128205128205132
legacy_dual_assignment_replication,1,2,154,9,48,0.8932733932733933,0.10672660672660672
legacy_dual_assignment_replication,1,3,97,7,26,0.8288103648928391,0.1711896351071609
legacy_dual_assignment_replication,1,4,64,3,14,0.7899598790384873,0.2100401209615127
legacy_dual_assignment_replication,1,5,47,1,14,0.7731522220376684,0.22684777796233158
legacy_dual_assignment_replication,1,6,32,2,9,0.7248302081603142,0.2751697918396858
legacy_dual_assignment_replication,1,7,21,1,3,0.690314483962204,0.30968551603779604
legacy_dual_assignment_replication,1,8,17,0,1,0.690314483962204,0.30968551603779604
legacy_dual_assignment_replication,1,9,16,0,3,0.690314483962204,0.30968551603779604
legacy_dual_assignment_replication,1,12,13,0,2,0.690314483962204,0.30968551603779604
legacy_dual_assignment_replication,1,13,11,0,1,0.690314483962204,0.30968551603779604
legacy_dual_assignment_replication,1,15,10,1,0,0.6212830355659836,0.37871696443401637
legacy_dual_assignment_replication,1,20,9,0,1,0.6212830355659836,0.37871696443401637
legacy_dual_assignment_replication,1,21,8,0,1,0.6212830355659836,0.37871696443401637
legacy_dual_assignment_replication,1,22,7,1,2,0.5325283161994145,0.46747168380058546
legacy_dual_assignment_replication,1,23,4,0,2,0.5325283161994145,0.46747168380058546
legacy_dual_assignment_replication,1,26,2,0,2,0.5325283161994145,0.46747168380058546
legacy_dual_assignment_replication,2,0,89,0,35,1.0,0.0
legacy_dual_assignment_replication,2,1,54,8,14,0.8518518518518519,0.14814814814814814
legacy_dual_assignment_replication,2,2,32,2,16,0.7986111111111112,0.20138888888888884
legacy_dual_assignment_replication,2,3,14,1,2,0.7415674603174603,0.25843253968253965
legacy_dual_assignment_replication,2,4,11,1,6,0.6741522366522367,0.32584776334776333
legacy_dual_assignment_replication,2,5,4,0,1,0.6741522366522367,0.32584776334776333
legacy_dual_assignment_replication,2,6,3,1,2,0.4494348244348245,0.5505651755651755
legacy_dual_assignment_replication,3,0,36,0,16,1.0,0.0
legacy_dual_assignment_replication,3,1,20,0,6,1.0,0.0
legacy_dual_assignment_replication,3,2,14,2,6,0.8571428571428572,0.1428571428571428
legacy_dual_assignment_replication,3,3,6,1,2,0.7142857142857144,0.2857142857142856
legacy_dual_assignment_replication,3,4,3,0,1,0.7142857142857144,0.2857142857142856
legacy_dual_assignment_replication,3,5,2,0,1,0.7142857142857144,0.2857142857142856
legacy_dual_assignment_replication,3,6,1,0,1,0.7142857142857144,0.2857142857142856
