source_support_threshold,years_since_source_support,at_risk,exclusive_TG_events,hybrid_bridge_events,same_year_ambiguous_events,censored,event_free_survival,cif_exclusive_TG,cif_hybrid_bridge,cif_same_year_ambiguous
1,0,262,0,0,0,67,1.0,0.0,0.0,0.0
1,1,195,6,4,0,31,0.9487179487179487,0.03076923076923077,0.020512820512820513,0.0
1,2,154,5,4,0,48,0.8932733932733933,0.06157176157176157,0.04515484515484515,0.0
1,3,97,4,2,1,26,0.8288103648928391,0.09840777778922108,0.06357285326357491,0.009209004054364879
1,4,64,2,1,0,14,0.7899598790384873,0.12430810169212231,0.07652301521502552,0.009209004054364879
1,5,47,0,1,0,14,0.7731522220376684,0.12430810169212231,0.0933306722158444,0.009209004054364879
1,6,32,1,1,0,9,0.7248302081603142,0.14846910863079946,0.11749167915452154,0.009209004054364879
1,7,21,0,1,0,3,0.690314483962204,0.14846910863079946,0.15200740335263174,0.009209004054364879
1,8,17,0,0,0,1,0.690314483962204,0.14846910863079946,0.15200740335263174,0.009209004054364879
1,9,16,0,0,0,3,0.690314483962204,0.14846910863079946,0.15200740335263174,0.009209004054364879
1,12,13,0,0,0,2,0.690314483962204,0.14846910863079946,0.15200740335263174,0.009209004054364879
1,13,11,0,0,0,1,0.690314483962204,0.14846910863079946,0.15200740335263174,0.009209004054364879
1,15,10,1,0,0,0,0.6212830355659836,0.21750055702701987,0.15200740335263174,0.009209004054364879
1,20,9,0,0,0,1,0.6212830355659836,0.21750055702701987,0.15200740335263174,0.009209004054364879
1,21,8,0,0,0,1,0.6212830355659836,0.21750055702701987,0.15200740335263174,0.009209004054364879
1,22,7,0,1,0,2,0.5325283161994145,0.21750055702701987,0.24076212271920083,0.009209004054364879
1,23,4,0,0,0,2,0.5325283161994145,0.21750055702701987,0.24076212271920083,0.009209004054364879
1,26,2,0,0,0,2,0.5325283161994145,0.21750055702701987,0.24076212271920083,0.009209004054364879
2,0,89,0,0,0,35,1.0,0.0,0.0,0.0
2,1,54,3,5,0,14,0.8518518518518519,0.05555555555555555,0.09259259259259259,0.0
2,2,32,0,1,1,16,0.7986111111111112,0.05555555555555555,0.11921296296296297,0.02662037037037037
2,3,14,1,0,0,2,0.7415674603174603,0.11259920634920635,0.11921296296296297,0.02662037037037037
2,4,11,1,0,0,6,0.6741522366522367,0.18001443001443002,0.11921296296296297,0.02662037037037037
2,5,4,0,0,0,1,0.6741522366522367,0.18001443001443002,0.11921296296296297,0.02662037037037037
2,6,3,0,1,0,2,0.4494348244348245,0.18001443001443002,0.34393037518037517,0.02662037037037037
3,0,36,0,0,0,16,1.0,0.0,0.0,0.0
3,1,20,0,0,0,6,1.0,0.0,0.0,0.0
3,2,14,2,0,0,6,0.8571428571428572,0.14285714285714285,0.0,0.0
3,3,6,0,1,0,2,0.7142857142857144,0.14285714285714285,0.14285714285714288,0.0
3,4,3,0,0,0,1,0.7142857142857144,0.14285714285714285,0.14285714285714288,0.0
3,5,2,0,0,0,1,0.7142857142857144,0.14285714285714285,0.14285714285714288,0.0
3,6,1,0,0,0,1,0.7142857142857144,0.14285714285714285,0.14285714285714288,0.0
