scenario,source_support_threshold,source_supported_pairs_at_risk,observed_later_target_cooccurrences,right_censored_pairs,naive_observed_fraction,km_cumulative_at_1_year,km_cumulative_at_3_years,km_cumulative_at_5_years,observed_event_median_lag
exclusive_iTE_to_exclusive_TG,1,276,27,249,0.09782608695652174,0.039215686274509776,0.1479277711550494,0.17374814172610853,3.0
exclusive_iTE_to_exclusive_TG,2,101,8,93,0.07920792079207921,0.06349206349206349,0.1883597883597884,0.246334089191232,1.5
exclusive_iTE_to_exclusive_TG,3,48,3,45,0.0625,0.0357142857142857,0.14915966386554624,0.14915966386554624,2.0
exclusive_iTE_to_TG_plus_hybrid_sensitivity,1,262,35,227,0.13358778625954199,0.05128205128205132,0.1711896351071609,0.22684777796233158,2.0
exclusive_iTE_to_TG_plus_hybrid_sensitivity,2,89,13,76,0.14606741573033707,0.14814814814814814,0.25843253968253965,0.32584776334776333,1.0
exclusive_iTE_to_TG_plus_hybrid_sensitivity,3,36,3,33,0.08333333333333333,0.0,0.2857142857142856,0.2857142857142856,2.0
legacy_dual_assignment_replication,1,262,35,227,0.13358778625954199,0.05128205128205132,0.1711896351071609,0.22684777796233158,2.0
legacy_dual_assignment_replication,2,89,13,76,0.14606741573033707,0.14814814814814814,0.25843253968253965,0.32584776334776333,1.0
legacy_dual_assignment_replication,3,36,3,33,0.08333333333333333,0.0,0.2857142857142856,0.2857142857142856,2.0
