source,target,score,probability
C08389FD6C6,CF4A6A0344F,0.9150403225806452,0.180752280464362
C08389FD6C6,C539540C36B,0.8789112903225806,0.17015819708141577
C08389FD6C6,C96681C9193,0.7660080645161291,0.14022711734370563
C08389FD6C6,C845F498233,0.7526209677419355,0.13698676666509177
CF4A6A0344F,C188B56F6F1,0.8991129032258064,0.1760197947511301
CF4A6A0344F,C8AD5B453CC,0.8606048387096774,0.16498147079984932
CF4A6A0344F,C539540C36B,0.8582258064516131,0.16431808533892955
CF4A6A0344F,CC028ABF9C6,0.7998790322580647,0.14871245219433846
CF4A6A0344F,C10C4FF4B6C,0.7944354838709677,0.14732071499503163
CF4A6A0344F,C7932B1CE8C,0.7795564516129031,0.14357157159400535
CF4A6A0344F,C78D65254F9,0.7751612903225806,0.14247940042080232
CF4A6A0344F,CE6FC512ED2,0.7495564516129032,0.13625391756288707
C10C4FF4B6C,C46747A02A1,0.9066129032258066,0.17823601155159513
C10C4FF4B6C,C845F498233,0.8558870967741936,0.1636680341509771
C10C4FF4B6C,CFBB5A400A1,0.8437903225806452,0.16033868501029966
C10C4FF4B6C,CBFAB31D6E6,0.8137096774193548,0.1522973167376824
C10C4FF4B6C,C188B56F6F1,0.7540322580645162,0.13732537670311282
C46747A02A1,C845F498233,0.862701612903226,0.1655679297320027
C46747A02A1,C7932B1CE8C,0.8252016129032258,0.1553296581243283
C46747A02A1,CBFAB31D6E6,0.820524193548387,0.15408953759624122
C46747A02A1,C8AD5B453CC,0.810282258064516,0.1514023855224947
C188B56F6F1,CC028ABF9C6,0.8016532258064516,0.14916839421845318
C188B56F6F1,C96681C9193,0.7927016129032258,0.14687968904174567
C188B56F6F1,CE6FC512ED2,0.7735483870967742,0.14208034473323247
C188B56F6F1,CB25BC3FC14,0.768225806451613,0.14077007440720768
C188B56F6F1,C78D65254F9,0.7468951612903227,0.13562017750230615
C188B56F6F1,C845F498233,0.7464919354838709,0.135524373368858
C539540C36B,CC028ABF9C6,0.744274193548387,0.13499847032158804
C845F498233,C3002C089A5,0.7772983870967742,0.14300958828067076
C845F498233,CFBB5A400A1,0.7447983870967742,0.135122619034378
C7932B1CE8C,CE6FC512ED2,0.8526612903225808,0.16277480791274487
C7932B1CE8C,CFBB5A400A1,0.788266129032258,0.14575645668656265
CE6FC512ED2,C78D65254F9,0.7530645161290322,0.1370931112080606
C96681C9193,C3002C089A5,0.7779435483870968,0.14316996767418788
C3002C089A5,C46A965349B,0.759475806451613,0.13863804085061257
