model,roc_auc,average_precision,candidates,positives,precision_at_5,hits_at_5,precision_at_10,hits_at_10,precision_at_25,hits_at_25,precision_at_50,hits_at_50,pair_weight
pair_weight=0.46,0.6319936958234831,0.11118215616445828,150,9,0.0,0,0.1,1,0.12,3,0.08,4,0.46
pair_weight=0.47,0.6319936958234831,0.11118215616445828,150,9,0.0,0,0.1,1,0.12,3,0.08,4,0.47000000000000003
pair_weight=0.48,0.6312056737588653,0.11111990904338764,150,9,0.0,0,0.1,1,0.12,3,0.08,4,0.48
pair_weight=0.49,0.6272655634357762,0.11053525012890557,150,9,0.0,0,0.1,1,0.12,3,0.08,4,0.49
pair_weight=0.50,0.6264775413711584,0.11047403188586916,150,9,0.0,0,0.1,1,0.12,3,0.08,4,0.5
pair_weight=0.51,0.6256895193065406,0.11031168368144029,150,9,0.0,0,0.1,1,0.12,3,0.08,4,0.51
pair_weight=0.52,0.6225374310480694,0.10996912615882734,150,9,0.0,0,0.1,1,0.12,3,0.08,4,0.52
pair_weight=0.53,0.6201733648542159,0.10978515979948011,150,9,0.0,0,0.1,1,0.12,3,0.08,4,0.53
pair_weight=0.54,0.6162332545311269,0.1094051416106338,150,9,0.0,0,0.1,1,0.12,3,0.08,4,0.54
pair_weight=0.55,0.6154452324665091,0.10934264942215736,150,9,0.0,0,0.1,1,0.12,3,0.08,4,0.55
pair_weight=0.60,0.6146572104018913,0.10921307400283586,150,9,0.0,0,0.1,1,0.12,3,0.08,4,0.6
pair_weight=0.56,0.6138691883372734,0.10918911118622213,150,9,0.0,0,0.1,1,0.12,3,0.08,4,0.56
pair_weight=0.61,0.6146572104018913,0.10917751940627145,150,9,0.0,0,0.1,1,0.12,3,0.08,4,0.61
pair_weight=0.58,0.6138691883372734,0.10915058181435941,150,9,0.0,0,0.1,1,0.12,3,0.08,4,0.58
pair_weight=0.59,0.6138691883372734,0.10915058181435941,150,9,0.0,0,0.1,1,0.12,3,0.08,4,0.59
pair_weight=0.57,0.6130811662726556,0.1090941444245887,150,9,0.0,0,0.1,1,0.12,3,0.08,4,0.5700000000000001
pair_weight=0.64,0.6154452324665091,0.1089851877812955,150,9,0.0,0,0.1,1,0.12,3,0.08,4,0.64
pair_weight=0.62,0.6138691883372734,0.10897383352456841,150,9,0.0,0,0.1,1,0.12,3,0.08,4,0.62
pair_weight=0.63,0.6146572104018913,0.10892595221626225,150,9,0.0,0,0.1,1,0.12,3,0.08,4,0.63
pair_weight=0.69,0.6178092986603625,0.10881645347439733,150,9,0.0,0,0.1,1,0.12,3,0.08,4,0.6900000000000001
pair_weight=0.70,0.6178092986603625,0.10871671393179495,150,9,0.0,0,0.1,1,0.12,3,0.08,4,0.7000000000000001
pair_weight=0.67,0.6154452324665091,0.10871521245292459,150,9,0.0,0,0.1,1,0.12,3,0.08,4,0.67
pair_weight=0.68,0.6162332545311269,0.10868204121801764,150,9,0.0,0,0.1,1,0.12,3,0.08,4,0.68
pair_weight=0.65,0.6138691883372734,0.10864770448046294,150,9,0.0,0,0.1,1,0.12,3,0.08,4,0.65
pair_weight=0.66,0.6138691883372734,0.10860210806864498,150,9,0.0,0,0.1,1,0.12,3,0.08,4,0.66
pair_weight=0.71,0.6170212765957447,0.10835205018382287,150,9,0.0,0,0.1,1,0.12,3,0.08,4,0.71
pair_weight=0.72,0.6162332545311269,0.10827322584536364,150,9,0.0,0,0.1,1,0.12,3,0.08,4,0.72
pair_weight=0.73,0.6154452324665091,0.10811296943510723,150,9,0.0,0,0.1,1,0.12,3,0.08,4,0.73
pair_weight=0.76,0.6146572104018913,0.10795147162866561,150,9,0.0,0,0.1,1,0.12,3,0.08,4,0.76
pair_weight=0.74,0.6138691883372734,0.10788353750950168,150,9,0.0,0,0.1,1,0.12,3,0.08,4,0.74
pair_weight=0.75,0.6142631993695824,0.10787873178331674,150,9,0.0,0,0.1,1,0.12,3,0.08,4,0.75
pair_weight=0.77,0.6138691883372734,0.10774808473971928,150,9,0.0,0,0.1,1,0.12,3,0.08,4,0.77
pair_weight=0.79,0.6138691883372734,0.10760434903793337,150,9,0.0,0,0.1,1,0.12,3,0.08,4,0.79
pair_weight=0.80,0.6122931442080378,0.10746424386148343,150,9,0.0,0,0.1,1,0.12,3,0.08,4,0.8
pair_weight=0.78,0.6122931442080378,0.1074539212675708,150,9,0.0,0,0.1,1,0.12,3,0.08,4,0.78
pair_weight=0.81,0.6107171000788022,0.10699702985260276,150,9,0.0,0,0.1,1,0.12,3,0.08,4,0.81
pair_weight=0.82,0.6107171000788022,0.10675372434613936,150,9,0.0,0,0.1,1,0.12,3,0.08,4,0.8200000000000001
pair_weight=0.83,0.6099290780141844,0.10661785235995164,150,9,0.0,0,0.1,1,0.12,3,0.08,4,0.8300000000000001
pair_weight=0.84,0.6091410559495666,0.10648835223045151,150,9,0.0,0,0.1,1,0.12,3,0.08,4,0.84
pair_weight=0.85,0.607565011820331,0.10628425585784917,150,9,0.0,0,0.1,1,0.12,3,0.08,4,0.85
pair_weight=0.86,0.6067769897557133,0.10621938698564085,150,9,0.0,0,0.1,1,0.12,3,0.08,4,0.86
pair_weight=0.87,0.6059889676910954,0.10609375253164818,150,9,0.0,0,0.1,1,0.12,3,0.08,4,0.87
pair_weight=0.88,0.6052009456264776,0.10595961436934101,150,9,0.0,0,0.1,1,0.12,3,0.08,4,0.88
pair_weight=0.89,0.6052009456264776,0.10595961436934101,150,9,0.0,0,0.1,1,0.12,3,0.08,4,0.89
pair_weight=0.90,0.6052009456264775,0.1059454693351018,150,9,0.0,0,0.1,1,0.12,3,0.08,4,0.9
pair_weight=0.91,0.6052009456264775,0.10566250519579146,150,9,0.0,0,0.1,1,0.12,3,0.08,4,0.91
pair_weight=0.93,0.6052009456264775,0.10565218260187882,150,9,0.0,0,0.1,1,0.12,3,0.08,4,0.93
pair_weight=0.92,0.6044129235618597,0.10558487749822895,150,9,0.0,0,0.1,1,0.12,3,0.08,4,0.92
pair_weight=0.94,0.6059889676910953,0.10470556884836069,150,9,0.0,0,0.1,1,0.12,3,0.08,4,0.9400000000000001
pair_weight=0.95,0.6052009456264775,0.10458716399849805,150,9,0.0,0,0.1,1,0.12,3,0.08,4,0.9500000000000001
pair_weight=0.96,0.6044129235618597,0.10446368562512573,150,9,0.0,0,0.1,1,0.12,3,0.08,4,0.96
pair_weight=0.97,0.6044129235618597,0.10355760176699591,150,9,0.0,0,0.1,1,0.12,3,0.08,4,0.97
pair_weight=0.99,0.6020488573680063,0.10243080100209814,150,9,0.0,0,0.1,1,0.12,3,0.08,4,0.99
pair_weight=1.00,0.6020488573680063,0.10243080100209814,150,9,0.0,0,0.1,1,0.12,3,0.08,4,1.0
pair_weight=0.98,0.6020488573680063,0.10243015853428952,150,9,0.0,0,0.1,1,0.12,3,0.08,4,0.98
pair_weight=0.00,0.5819542947202522,0.07214355948869224,150,9,0.2,1,0.2,2,0.16,4,0.1,5,0.0
