model,roc_auc,average_precision,candidates,positives,precision_at_5,hits_at_5,precision_at_10,hits_at_10,precision_at_25,hits_at_25,precision_at_50,hits_at_50,catboost_weight,graph_weight
w=0.38,0.739952718676123,0.19192791586820182,150,9,0.4,2,0.2,2,0.2,5,0.1,5,0.38,0.62
w=0.45,0.7269503546099291,0.1910437588398608,150,9,0.4,2,0.2,2,0.16,4,0.1,5,0.45,0.55
w=0.51,0.7131599684791174,0.18959284305713886,150,9,0.2,1,0.3,3,0.12,3,0.1,5,0.51,0.49
w=0.52,0.710795902285264,0.18883832103946344,150,9,0.2,1,0.3,3,0.12,3,0.1,5,0.52,0.48
w=0.49,0.7171000788022065,0.1830213802761559,150,9,0.2,1,0.3,3,0.12,3,0.1,5,0.49,0.51
w=0.46,0.7249802994483846,0.18295216971378891,150,9,0.2,1,0.2,2,0.16,4,0.1,5,0.46,0.54
w=0.50,0.7147360126083531,0.18153174821692863,150,9,0.2,1,0.3,3,0.12,3,0.1,5,0.5,0.5
w=0.47,0.7186761229314421,0.18039442719503027,150,9,0.2,1,0.2,2,0.12,3,0.1,5,0.47000000000000003,0.53
w=0.48,0.7163120567375887,0.17999671438099252,150,9,0.2,1,0.2,2,0.12,3,0.1,5,0.48,0.52
w=0.53,0.706855791962175,0.17909323448912276,150,9,0.2,1,0.3,3,0.12,3,0.1,5,0.53,0.47
w=0.54,0.7029156816390859,0.17294086590562918,150,9,0.2,1,0.3,3,0.12,3,0.1,5,0.54,0.45999999999999996
w=0.55,0.7013396375098503,0.17273964601001196,150,9,0.2,1,0.3,3,0.12,3,0.1,5,0.55,0.44999999999999996
w=0.56,0.698187549251379,0.17151934767417507,150,9,0.2,1,0.3,3,0.12,3,0.1,5,0.56,0.43999999999999995
w=0.57,0.6926713947990544,0.17039745056986436,150,9,0.2,1,0.3,3,0.12,3,0.1,5,0.5700000000000001,0.42999999999999994
w=0.58,0.6903073286052009,0.16977272682686106,150,9,0.2,1,0.3,3,0.12,3,0.1,5,0.58,0.42000000000000004
w=0.59,0.6871552403467297,0.16913209842305327,150,9,0.2,1,0.3,3,0.12,3,0.1,5,0.59,0.41000000000000003
w=0.60,0.6851851851851851,0.16395193666394414,150,9,0.2,1,0.3,3,0.12,3,0.1,5,0.6,0.4
w=0.61,0.6808510638297872,0.16349185926669826,150,9,0.2,1,0.3,3,0.12,3,0.1,5,0.61,0.39
w=0.62,0.6800630417651694,0.15771683507062143,150,9,0.2,1,0.3,3,0.12,3,0.1,5,0.62,0.38
w=0.63,0.6784869976359338,0.15379858900596455,150,9,0.2,1,0.3,3,0.12,3,0.1,5,0.63,0.37
w=0.65,0.6753349093774625,0.15030595890974527,150,9,0.2,1,0.2,2,0.12,3,0.1,5,0.65,0.35
w=0.64,0.6753349093774625,0.15029259487464403,150,9,0.2,1,0.2,2,0.12,3,0.1,5,0.64,0.36
w=0.66,0.6753349093774625,0.15012260567761154,150,9,0.2,1,0.2,2,0.12,3,0.1,5,0.66,0.33999999999999997
w=0.67,0.6721828211189913,0.14911917421721343,150,9,0.2,1,0.2,2,0.12,3,0.1,5,0.67,0.32999999999999996
w=0.68,0.6690307328605201,0.1484895852623501,150,9,0.2,1,0.2,2,0.12,3,0.1,5,0.68,0.31999999999999995
w=0.69,0.6682427107959024,0.14807076778926903,150,9,0.2,1,0.2,2,0.12,3,0.1,5,0.6900000000000001,0.30999999999999994
w=0.70,0.6678486997635934,0.1478023834629137,150,9,0.2,1,0.2,2,0.12,3,0.1,5,0.7000000000000001,0.29999999999999993
w=0.71,0.6643026004728132,0.1396922778847464,150,9,0.0,0,0.2,2,0.12,3,0.1,5,0.71,0.29000000000000004
w=0.72,0.6635145784081955,0.13960599474662866,150,9,0.0,0,0.2,2,0.12,3,0.1,5,0.72,0.28
w=0.73,0.661150512214342,0.1367675289272576,150,9,0.0,0,0.2,2,0.12,3,0.1,5,0.73,0.27
w=0.74,0.6587864460204886,0.13611342113029268,150,9,0.0,0,0.2,2,0.12,3,0.08,4,0.74,0.26
w=0.75,0.6576044129235619,0.1332663380945304,150,9,0.0,0,0.2,2,0.12,3,0.08,4,0.75,0.25
w=0.76,0.6556343577620174,0.13297887039595768,150,9,0.0,0,0.2,2,0.12,3,0.08,4,0.76,0.24
w=0.77,0.6548463356973995,0.1328942626585801,150,9,0.0,0,0.2,2,0.12,3,0.08,4,0.77,0.22999999999999998
w=0.78,0.652482269503546,0.13243525664401853,150,9,0.0,0,0.2,2,0.12,3,0.08,4,0.78,0.21999999999999997
w=0.79,0.6516942474389282,0.13195735939192774,150,9,0.0,0,0.2,2,0.12,3,0.08,4,0.79,0.20999999999999996
w=0.80,0.6473601260835303,0.13065071255643776,150,9,0.0,0,0.2,2,0.12,3,0.08,4,0.8,0.19999999999999996
w=0.81,0.6461780929866037,0.12756429280335135,150,9,0.0,0,0.2,2,0.12,3,0.08,4,0.81,0.18999999999999995
